Case_ID;57b428a6cef25a0a0d6681ac;;;;;;;;;;;;;;;;;;;;;;;;;;
13F;Zaanstraat;2020;89,63;SFH semi-detached;1;residential;1955;13,69;4;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16AT;Rik Schaefelsstraat;2020;60,50;SFH semi-detached;1;residential;1962;6,87;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16AU;Rik Schaefelsstraat;2020;60,95;SFH semi-detached;1;residential;1962;6,85;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16AV;Rik Schaefelsstraat;2020;60,90;SFH semi-detached;1;residential;1962;6,84;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16BG;Rik Schaefelsstraat;2020;91,37;SFH semi-detached;1;residential;1962;6,84;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16BM;Rik Schaefelsstraat;2020;60,32;SFH semi-detached;1;residential;1962;6,86;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16P;Rik Schaefelsstraat;2020;60,68;SFH semi-detached;1;residential;1962;6,86;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16AW;Valerius De Saedeleerstraat;2020;60,43;SFH semi-detached;1;residential;1962;6,73;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16AX;Valerius De Saedeleerstraat;2020;60,59;SFH semi-detached;1;residential;1962;6,65;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16AY;Valerius De Saedeleerstraat;2020;69,67;SFH semi-detached;1;residential;1962;6,60;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16BJ;Valerius De Saedeleerstraat;2020;60,89;SFH semi-detached;1;residential;1962;6,66;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16BQ;Valerius De Saedeleerstraat;2020;60,84;SFH semi-detached;1;residential;1962;6,65;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16BS;Valerius De Saedeleerstraat;2020;60,64;SFH semi-detached;1;residential;1962;6,68;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
17F;Tirstraat;2020;90,63;SFH semi-detached;1;residential;2008;12,36;3;brick;;0,00;;gas;double;C+;0,4;2;0,3;;;;;;;;
18AX;Frans Hensstraat;2020;65,48;SFH semi-detached;1;residential;1950;6,87;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
18AF;Schijfstraat;2020;63,01;SFH semi-detached;1;residential;1955;12,23;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
18F;Sus Van den Eyndestraat;2020;66,72;SFH semi-detached;1;residential;2009;9,62;2;brick;;0,00;;gas;double;;;0;;;;;;;;;
20L;Van Peenestraat;2020;88,12;SFH semi-detached;1;residential;1960;10,01;3;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1K;Lodewijk De Raetstraat;2020;234,97;SFH terraced;1;residential;1957;7,59;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1O;Lodewijk De Raetstraat;2020;63,96;SFH terraced;1;residential;1957;7,47;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1B;Emiel Vloorsstraat;2020;64,11;SFH terraced;1;residential;1957;7,51;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1C;Emiel Vloorsstraat;2020;62,90;SFH terraced;1;residential;1957;7,47;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1D;Emiel Vloorsstraat;2020;65,07;SFH terraced;1;residential;1957;7,50;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1E;Emiel Vloorsstraat;2020;80,81;SFH terraced;1;residential;1957;7,53;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1F;Emiel Vloorsstraat;2020;89,66;SFH terraced;1;residential;1957;7,50;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1G;Emiel Vloorsstraat;2020;63,97;SFH terraced;1;residential;1957;7,48;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1H;Emiel Vloorsstraat;2020;112,98;SFH terraced;1;residential;1957;7,48;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1J;Emiel Vloorsstraat;2020;63,53;SFH terraced;1;residential;1957;7,50;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1L;Emiel Vloorsstraat;2020;64,58;SFH terraced;1;residential;1957;7,59;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1M;Lodewijk De Raetstraat;2020;83,50;SFH terraced;1;residential;1957;7,47;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1N;Lodewijk De Raetstraat;2020;65,53;SFH terraced;1;residential;1957;7,48;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1P;Emiel Vloorsstraat;2020;65,11;SFH terraced;1;residential;1957;7,54;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1Q;Emiel Vloorsstraat;2020;63,92;SFH terraced;1;residential;1957;7,53;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1S;Emiel Vloorsstraat;2020;63,53;SFH terraced;1;residential;1957;7,49;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1T;Lodewijk De Raetstraat;2020;62,92;SFH terraced;1;residential;1957;7,47;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1U;Lodewijk De Raetstraat;2020;84,97;SFH terraced;1;residential;1957;7,41;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1V;Lodewijk De Raetstraat;2020;85,91;SFH terraced;1;residential;1957;7,43;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1W;Emiel Vloorsstraat;2020;79,50;SFH terraced;1;residential;1957;7,58;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1Y;Lodewijk De Raetstraat;2020;64,59;SFH terraced;1;residential;1957;7,41;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1Z;Lodewijk De Raetstraat;2020;64,20;SFH terraced;1;residential;1957;7,46;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2E;Emiel Vloorsstraat;2020;79,95;SFH terraced;1;residential;1957;7,43;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2I;Emiel Vloorsstraat;2020;82,43;SFH terraced;1;residential;1957;7,35;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2J;Emiel Vloorsstraat;2020;83,91;SFH terraced;1;residential;1957;7,41;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2K;Emiel Vloorsstraat;2020;63,73;SFH terraced;1;residential;1957;7,34;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2P;Emiel Vloorsstraat;2020;63,54;SFH terraced;1;residential;1957;7,42;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2AB;Lodewijk De Raetstraat;2020;103,99;SFH terraced;1;residential;1957;7,43;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2C;Lodewijk De Raetstraat;2020;63,58;SFH terraced;1;residential;1957;7,44;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2H;Lodewijk De Raetstraat;2020;63,33;SFH terraced;1;residential;1957;7,36;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2L;Lodewijk De Raetstraat;2020;88,29;SFH terraced;1;residential;1957;7,41;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2M;Lodewijk De Raetstraat;2020;63,56;SFH terraced;1;residential;1957;7,52;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2O;Lodewijk De Raetstraat;2020;63,90;SFH terraced;1;residential;1957;7,47;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2R;Lodewijk De Raetstraat;2020;83,20;SFH terraced;1;residential;1957;7,42;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2S;Lodewijk De Raetstraat;2020;68,54;SFH terraced;1;residential;1957;7,44;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2T;Lodewijk De Raetstraat;2020;82,13;SFH terraced;1;residential;1957;7,49;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2U;Lodewijk De Raetstraat;2020;60,01;SFH terraced;1;residential;1957;7,49;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2V;Lodewijk De Raetstraat;2020;105,42;SFH terraced;1;residential;1957;7,50;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2W;Lodewijk De Raetstraat;2020;86,93;SFH terraced;1;residential;1957;7,43;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2X;Lodewijk De Raetstraat;2020;64,16;SFH terraced;1;residential;1957;7,50;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2Y;Lodewijk De Raetstraat;2020;108,71;SFH terraced;1;residential;1957;7,42;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2Z;Lodewijk De Raetstraat;2020;67,79;SFH terraced;1;residential;1957;7,57;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4A;Scheibeekstraat;2020;64,95;SFH terraced;1;residential;1957;7,46;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4AA;Lodewijk De Raetstraat;2020;64,25;SFH terraced;1;residential;1957;7,56;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4AB;Lodewijk De Raetstraat;2020;81,40;SFH terraced;1;residential;1957;7,50;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4AC;Lodewijk De Raetstraat;2020;80,94;SFH terraced;1;residential;1957;7,50;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4AD;Scheibeekstraat;2020;64,33;SFH terraced;1;residential;1957;7,50;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4AF;Lodewijk De Raetstraat;2020;63,75;SFH terraced;1;residential;1957;7,52;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4AG;Lodewijk De Raetstraat;2020;64,74;SFH terraced;1;residential;1957;7,57;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4B;Scheibeekstraat;2020;62,95;SFH terraced;1;residential;1957;7,44;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4C;Lodewijk De Raetstraat;2020;77,77;SFH terraced;1;residential;1957;7,46;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4E;Scheibeekstraat;2020;64,38;SFH terraced;1;residential;1957;7,40;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4F;Scheibeekstraat;2020;64,61;SFH terraced;1;residential;1957;7,37;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4G;Lodewijk De Raetstraat;2020;96,87;SFH terraced;1;residential;1957;7,47;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4H;Lodewijk De Raetstraat;2020;86,20;SFH terraced;1;residential;1957;7,50;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4I;Scheibeekstraat;2020;64,90;SFH terraced;1;residential;1957;7,50;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4J;Lodewijk De Raetstraat;2020;64,01;SFH terraced;1;residential;1957;7,48;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4L;Scheibeekstraat;2020;78,86;SFH terraced;1;residential;1957;7,41;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4O;Scheibeekstraat;2020;78,29;SFH terraced;1;residential;1957;7,45;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4P;Scheibeekstraat;2020;84,90;SFH terraced;1;residential;1957;7,39;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4R;Lodewijk De Raetstraat;2020;64,52;SFH terraced;1;residential;1957;7,54;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4U;Scheibeekstraat;2020;84,68;SFH terraced;1;residential;1957;7,38;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4V;Lodewijk De Raetstraat;2020;81,79;SFH terraced;1;residential;1957;7,56;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4W;Lodewijk De Raetstraat;2020;202,49;SFH terraced;1;residential;1957;7,60;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4X;Scheibeekstraat;2020;64,94;SFH terraced;1;residential;1957;7,41;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4Y;Scheibeekstraat;2020;64,20;SFH terraced;1;residential;1957;7,51;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
4Z;Scheibeekstraat;2020;62,89;SFH terraced;1;residential;1957;7,47;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
6A;Alofs De Laetstraat;2020;81,41;SFH terraced;1;residential;1950;7,03;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
6B;Alofs De Laetstraat;2020;85,28;SFH terraced;1;residential;1950;6,89;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
6D;Alofs De Laetstraat;2020;78,44;SFH terraced;1;residential;1950;6,85;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
6E;Alofs De Laetstraat;2020;77,73;SFH terraced;1;residential;1950;6,87;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
6F;Alofs De Laetstraat;2020;82,50;SFH terraced;1;residential;1950;6,67;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
6G;Alofs De Laetstraat;2020;82,67;SFH terraced;1;residential;1950;6,78;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
6H;Alofs De Laetstraat;2020;82,62;SFH terraced;1;residential;1950;6,78;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
6I;Alofs De Laetstraat;2020;68,81;SFH terraced;1;residential;1950;6,86;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
6K;Alofs De Laetstraat;2020;81,18;SFH terraced;1;residential;1950;6,45;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
6L;Alofs De Laetstraat;2020;74,01;SFH terraced;1;residential;1950;6,89;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AA;Maurits Sabbelaan;2020;63,25;SFH terraced;1;residential;1957;7,41;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AB;Maurits Sabbelaan;2020;116,72;SFH terraced;1;residential;1957;7,47;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AD;Karel Mirystraat;2020;64,31;SFH terraced;1;residential;1957;7,51;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AE;Scheibeekstraat;2020;84,86;SFH terraced;1;residential;1957;7,53;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AI;Scheibeekstraat;2020;80,25;SFH terraced;1;residential;1957;7,48;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AJ;Maurits Sabbelaan;2020;84,94;SFH terraced;1;residential;1957;7,39;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AK;Scheibeekstraat;2020;100,00;SFH terraced;1;residential;1957;7,44;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AL;Maurits Sabbelaan;2020;75,77;SFH terraced;1;residential;1957;7,44;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AM;Maurits Sabbelaan;2020;86,67;SFH terraced;1;residential;1957;7,41;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AP;Maurits Sabbelaan;2020;64,13;SFH terraced;1;residential;1957;7,57;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AQ;Scheibeekstraat;2020;64,16;SFH terraced;1;residential;1957;7,55;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AR;Maurits Sabbelaan;2020;79,10;SFH terraced;1;residential;1957;7,48;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AS;Maurits Sabbelaan;2020;63,80;SFH terraced;1;residential;1957;7,45;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AT;Scheibeekstraat;2020;69,99;SFH terraced;1;residential;1957;7,51;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AU;Scheibeekstraat;2020;63,64;SFH terraced;1;residential;1957;7,53;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AW;Maurits Sabbelaan;2020;63,84;SFH terraced;1;residential;1957;7,48;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AX;Maurits Sabbelaan;2020;63,87;SFH terraced;1;residential;1957;7,39;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AY;Scheibeekstraat;2020;85,16;SFH terraced;1;residential;1957;7,55;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7BA;Scheibeekstraat;2020;63,66;SFH terraced;1;residential;1957;7,48;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7C;Maurits Sabbelaan;2020;83,88;SFH terraced;1;residential;1957;7,44;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7D;Maurits Sabbelaan;2020;63,60;SFH terraced;1;residential;1957;7,44;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7E;Scheibeekstraat;2020;102,67;SFH terraced;1;residential;1957;7,51;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7G;Karel Mirystraat;2020;64,44;SFH terraced;1;residential;1957;7,57;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7H;Maurits Sabbelaan;2020;63,95;SFH terraced;1;residential;1957;7,43;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7I;Scheibeekstraat;2020;74,98;SFH terraced;1;residential;1957;7,44;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7J;Scheibeekstraat;2020;64,06;SFH terraced;1;residential;1957;7,50;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7K;Scheibeekstraat;2020;69,31;SFH terraced;1;residential;1957;7,51;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7L;Scheibeekstraat;2020;76,91;SFH terraced;1;residential;1957;7,55;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7M;Maurits Sabbelaan;2020;77,21;SFH terraced;1;residential;1957;7,48;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7N;Maurits Sabbelaan;2020;114,87;SFH terraced;1;residential;1957;7,53;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7O;Maurits Sabbelaan;2020;120,36;SFH terraced;1;residential;1957;7,51;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7T;Scheibeekstraat;2020;64,56;SFH terraced;1;residential;1957;7,54;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7U;Karel Mirystraat;2020;64,25;SFH terraced;1;residential;1957;7,60;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7V;Scheibeekstraat;2020;71,67;SFH terraced;1;residential;1957;7,48;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7W;Maurits Sabbelaan;2020;62,41;SFH terraced;1;residential;1957;7,37;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7Y;Karel Mirystraat;2020;84,83;SFH terraced;1;residential;1957;7,49;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AV;Maurits Sabbelaan;2020;136,85;SFH terraced;1;residential;1960;9,81;3;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7P;Maurits Sabbelaan;2020;189,68;SFH terraced;1;mixed (residential, commercial);1960;9,89;3;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
8A;Alfons De Cockstraat;2020;64,57;SFH terraced;1;residential;1951;7,00;2;brick;;0,00;561;gas;;;;0;;;;;;;;;
8AA;Alfons De Cockstraat;2020;66,08;SFH terraced;1;residential;1951;6,60;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
8AB;Maurits Sabbelaan;2020;120,70;SFH terraced;1;residential;1950;7,14;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
8B;Max Elskampstraat;2020;60,49;SFH terraced;1;residential;1951;6,79;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
8E;Max Elskampstraat;2020;84,43;SFH terraced;1;residential;1951;6,89;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
8F;Maurits Sabbelaan;2020;105,18;SFH terraced;1;residential;1958;6,94;2;brick;;0,00;919;gas;double;;;0;;;248,00;;;;;;
8G;Max Elskampstraat;2020;59,96;SFH terraced;1;residential;1951;6,79;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
8J;Max Elskampstraat;2020;74,63;SFH terraced;1;residential;1951;6,41;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
8K;Alfons De Cockstraat;2020;75,35;SFH terraced;1;residential;1951;6,98;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
8L;Max Elskampstraat;2020;77,03;SFH terraced;1;residential;1951;6,77;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
